Name,Email,Experience,Country,Industry,LinkedIn Input,Job Description,Likes and Interests,Impact Made,Stage Relevance,Skill Set,Tags
Fatima Noor,fatima.noor@telxnet.pk,10 years,Pakistan,Telecom Billing & Analytics,Professional in TelecomOps | Passionate about innovation | Open for collaboration,Monitoring real-time usage and fraud in telecom billing.,"mobile, analytics, fraud",Flagged $8M in leakages last year.,Scaling,"Billing Engines, Fraud Detection, Dashboards","telecom billing, innovation, pakistan"
Eric Johansson,eric.j@enercalc.se,12 years,Sweden,Renewable Energy Grid Forecasting,Professional in Clean Energy | Passionate about innovation | Open for collaboration,Predicting solar & wind generation patterns for national grid.,"green power, prediction",Balanced 40% of renewable load swings.,Growth,"Forecasting, Climate Data, EnergyOps","energy forecasting, innovation, sweden"
Minh Pham,minh.pham@farmtrade.vn,9 years,Vietnam,Agri-Trading Digital Marketplaces,Professional in AgriTrade | Passionate about innovation | Open for collaboration,Linking farmers directly with wholesale buyers.,"agriculture, markets",Enabled $15M+ in direct agri-trade.,Scaling,"Marketplace, UX, Payment Gateways","agri marketplace, innovation, vietnam"
Julia Fischer,julia.fischer@motovue.de,10 years,Germany,Connected Car Data Visualization,Professional in AutoTech | Passionate about innovation | Open for collaboration,Dashboards for OEMs to visualize car performance data.,"telemetry, design, vehicle data",Deployed in 5 German car brands.,Growth,"Car Telemetry, Data UX, Dashboards","connected car, innovation, germany"
Omar Al-Hassan,omar.hassan@logisight.ae,11 years,UAE,Port Logistics & Container Tracking,Professional in MaritimeTech | Passionate about innovation | Open for collaboration,Building real-time dashboards for port-based shipment visibility.,"shipping, cargo, visibility",Cut port congestion time by 20%.,Scaling,"Tracking, API Integration, Maritime Ops","port logistics, innovation, uae"
Chloe Martin,chloe.martin@trendlabs.fr,9 years,France,Fashion Trend Analytics,Professional in Fashion Intelligence | Passionate about innovation | Open for collaboration,AI-powered tools predicting next season’s design themes.,"trend forecasting, style",Used by 100+ retailers.,Growth,"ML, Trend Clustering, Data Design","fashion ai, innovation, france"
Santiago Torres,santiago.torres@cropwatch.co,8 years,Colombia,Remote Crop Health Monitoring,Professional in AgriRemote | Passionate about innovation | Open for collaboration,Satellite data & sensors tracking crop health & anomalies.,"earth observation, agri",Helped 500+ farms reduce pesticide use.,Growth,"NDVI, Remote Sensing, ML","crop monitoring, innovation, colombia"
Natalie Li,natalie.li@medicom.hk,10 years,Hong Kong,Healthcare Document Automation,Professional in Health Ops | Passionate about innovation | Open for collaboration,Streamlining hospital documentation and compliance forms.,"health data, UX, automation",Saved 2 hours/patient record cycle.,Scaling,"OCR, Health APIs, UX","health doc automation, innovation, hong kong"
Viktor Kovac,viktor.kovac@packtrack.si,9 years,Slovenia,Smart Parcel Tracking,Professional in Ecom Logistics | Passionate about innovation | Open for collaboration,Real-time geofencing + fraud prevention in package delivery.,"ecommerce, delivery, tech",Tracked 50M+ parcels in 2023.,Scaling,"GPS, Alerts, Customer UX","parcel tracking, innovation, slovenia"
Reema Patel,reema.patel@policyinsure.in,10 years,India,Insurance Distribution Tech,Professional in FinTech | Passionate about innovation | Open for collaboration,Empowering rural agents with mobile-first insurance platforms.,"inclusion, finance, field sales",Enabled 5M+ policies in rural India.,Scaling,"Agent Tech, UX, Field Tools","insurance access, innovation, india"
Thomas Boyd,thomas.boyd@printlogic.ca,11 years,Canada,Publishing Workflow Automation,Professional in PrintTech | Passionate about innovation | Open for collaboration,Digitizing end-to-end publishing process from author to printer.,"books, operations, automation",Used by 300+ publishers globally.,Growth,"Workflow Automation, Print APIs, UX","publishing automation, innovation, canada"
